id,name,lat,long,location_name,region_name,country_name
97114,"Velassaru Caves",4.12626,73.4376,"South Male Atoll","Laccadive Sea",Maldives
97115,"Woshimas Thila",4.48008,73.371,"North Male Atoll","Laccadive Sea",Maldives
97116,"Villivaru Giri",3.90356,73.4445,"South Male Atoll","Laccadive Sea",Maldives
97117,"Vaadhoo Channel",4.12574,73.459,"South Male Atoll","Laccadive Sea",Maldives
97118,"Vaadhoo Caves",4.12831,73.456,"South Male Atoll","Laccadive Sea",Maldives
97157,"Karibeyru Thila",4.08975,72.9471,"Ari Atoll","Océan indien",Maldives
97158,"Maaya Thila",4.09117,72.862,"Ari Atoll","Océan indien",Maldives
97318,"Faru Corner",4.24332,73.5502,"North Male Atoll","North Male Atoll",Maldives
97322,Mushimasmigili,3.93622,72.913,"Ari Atoll","Océan indien",Maldives
97323,Fesdhou,3.99943,72.786,"Ari Atoll","Océan indien",Maldives
97324,"Maalhoss Thila",3.99464,72.7165,"Ari Atoll","Océan indien",Maldives
97356,"Maadi Beyru",3.83783,72.7457,"Ari Atoll","Océan indien",Maldives
97357,"Kalhahandihuraa Panettone",3.79739,72.7121,"Ari Atoll","Océan indien",Maldives
97358,"Rangali Mdivaru",3.58829,72.7226,"Ari Atoll","Océan indien",Maldives
97359,"Rangali Madivaru",3.58829,72.7226,"Ari Atoll","Océan indien",Maldives
97360,"Kudadhoo Beuru",3.47607,72.8708,"Ari Atoll","Océan indien",Maldives
97361,"Dangheti Corner",3.61129,72.9598,"Ari Atoll","Océan indien",Maldives
97363,"Gulhi Kandu",3.98524,73.5091,"Malé  Sud Atoll","Océan indien",Maldives
97364,"Kuda Giri",3.97642,73.4941,"Malé  Sud Atoll","Océan indien",Maldives
97383,"Coral Garden",4.26176,73.5315,"North Male Atoll","Indian Ocean",Maldives
97415,"Amba Thila",6.75667,73.1583,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97416,"Hanimadhoo Faru",6.75667,73.1583,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97417,"Amba Thila",6.76613,73.0456,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97500,"Baarah Thila",6.75258,73.0718,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97501,"Theefaridhoo Faru",6.74917,73.0313,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97502,"Hirimaradhoo Thila",6.71303,73.0368,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97503,"Theefaridhoo Thila",6.76451,73.0151,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97504,"Enmadhi Thila",6.68916,73.0196,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97505,"Kulhu Thila",6.63255,73.0443,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97506,"Maavaidhoo Thila",6.53023,73.0416,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97507,"Nel Reef",6.44632,73.0484,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97508,"Tine Thila",6.43574,73.0052,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97509,"Anemon Thila",6.63801,72.9355,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97510,"Nellaidhoo Thila",6.71166,72.9564,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
97511,"Hirinaidhoo Thila",6.69871,72.9612,"South Thiladhunmatee Atoll","Laccadive Sea",Maldives
